"Time (UTCG)","Effective Area (m^2)","Solar Intensity"
1 Jul 2024 00:00:00.000,0.019699,1.000000
1 Jul 2024 00:00:10.000,0.007655,1.000000
1 Jul 2024 00:00:20.000,0.014661,1.000000
1 Jul 2024 00:00:30.000,0.025847,1.000000
1 Jul 2024 00:00:40.000,0.020992,1.000000
1 Jul 2024 00:00:50.000,0.017099,1.000000
1 Jul 2024 00:01:00.000,0.004656,1.000000
1 Jul 2024 00:01:10.000,0.016753,1.000000
1 Jul 2024 00:01:20.000,0.026102,1.000000
1 Jul 2024 00:01:30.000,0.022769,1.000000
1 Jul 2024 00:01:40.000,0.016662,1.000000
1 Jul 2024 00:01:50.000,0.001842,1.000000
1 Jul 2024 00:02:00.000,0.018400,1.000000
1 Jul 2024 00:02:10.000,0.025406,1.000000
1 Jul 2024 00:02:20.000,0.023947,1.000000
1 Jul 2024 00:02:30.000,0.015651,1.000000
1 Jul 2024 00:02:40.000,0.001966,1.000000
1 Jul 2024 00:02:50.000,0.019413,1.000000
1 Jul 2024 00:03:00.000,0.024213,1.000000
1 Jul 2024 00:03:10.000,0.024014,1.000000
1 Jul 2024 00:03:20.000,0.014502,1.000000
1 Jul 2024 00:03:30.000,0.005411,1.000000
1 Jul 2024 00:03:40.000,0.019539,1.000000
1 Jul 2024 00:03:50.000,0.021966,1.000000
1 Jul 2024 00:04:00.000,0.023545,1.000000
1 Jul 2024 00:04:10.000,0.012705,1.000000
1 Jul 2024 00:04:20.000,0.008761,1.000000
1 Jul 2024 00:04:30.000,0.022441,1.000000
1 Jul 2024 00:04:40.000,0.019083,1.000000
1 Jul 2024 00:04:50.000,0.022071,1.000000
1 Jul 2024 00:05:00.000,0.010532,1.000000
1 Jul 2024 00:05:10.000,0.011719,1.000000
1 Jul 2024 00:05:20.000,0.024441,1.000000
1 Jul 2024 00:05:30.000,0.018558,1.000000
1 Jul 2024 00:05:40.000,0.020060,1.000000
1 Jul 2024 00:05:50.000,0.007889,1.000000
1 Jul 2024 00:06:00.000,0.014352,1.000000
1 Jul 2024 00:06:10.000,0.025708,1.000000
1 Jul 2024 00:06:20.000,0.020898,1.000000
1 Jul 2024 00:06:30.000,0.017359,1.000000
1 Jul 2024 00:06:40.000,0.005166,1.000000
1 Jul 2024 00:06:50.000,0.016534,1.000000
1 Jul 2024 00:07:00.000,0.026006,1.000000
1 Jul 2024 00:07:10.000,0.022712,1.000000
1 Jul 2024 00:07:20.000,0.016815,1.000000
1 Jul 2024 00:07:30.000,0.002228,1.000000
1 Jul 2024 00:07:40.000,0.018199,1.000000
1 Jul 2024 00:07:50.000,0.025610,1.000000
1 Jul 2024 00:08:00.000,0.023670,1.000000
1 Jul 2024 00:08:10.000,0.015824,1.000000
1 Jul 2024 00:08:20.000,0.001715,1.000000
1 Jul 2024 00:08:30.000,0.019253,1.000000
1 Jul 2024 00:08:40.000,0.024302,1.000000
1 Jul 2024 00:08:50.000,0.024023,1.000000
1 Jul 2024 00:09:00.000,0.014689,1.000000
1 Jul 2024 00:09:10.000,0.005119,1.000000
1 Jul 2024 00:09:20.000,0.019671,1.000000
1 Jul 2024 00:09:30.000,0.022242,1.000000
1 Jul 2024 00:09:40.000,0.023507,1.000000
1 Jul 2024 00:09:50.000,0.013040,1.000000
1 Jul 2024 00:10:00.000,0.008331,1.000000
1 Jul 2024 00:10:10.000,0.022114,1.000000
1 Jul 2024 00:10:20.000,0.019516,1.000000
1 Jul 2024 00:10:30.000,0.022298,1.000000
1 Jul 2024 00:10:40.000,0.010888,1.000000
1 Jul 2024 00:10:50.000,0.011456,1.000000
1 Jul 2024 00:11:00.000,0.024317,1.000000
1 Jul 2024 00:11:10.000,0.018090,1.000000
1 Jul 2024 00:11:20.000,0.020419,1.000000
1 Jul 2024 00:11:30.000,0.008253,1.000000
1 Jul 2024 00:11:40.000,0.014024,1.000000
1 Jul 2024 00:11:50.000,0.025572,1.000000
1 Jul 2024 00:12:00.000,0.020553,1.000000
1 Jul 2024 00:12:10.000,0.017856,1.000000
1 Jul 2024 00:12:20.000,0.005659,1.000000
1 Jul 2024 00:12:30.000,0.016160,1.000000
1 Jul 2024 00:12:40.000,0.026045,1.000000
1 Jul 2024 00:12:50.000,0.022401,1.000000
1 Jul 2024 00:13:00.000,0.016697,1.000000
1 Jul 2024 00:13:10.000,0.002603,1.000000
1 Jul 2024 00:13:20.000,0.017994,1.000000
1 Jul 2024 00:13:30.000,0.025682,1.000000
1 Jul 2024 00:13:40.000,0.023516,1.000000
1 Jul 2024 00:13:50.000,0.015986,1.000000
1 Jul 2024 00:14:00.000,0.001271,1.000000
1 Jul 2024 00:14:10.000,0.019068,1.000000
1 Jul 2024 00:14:20.000,0.024542,1.000000
1 Jul 2024 00:14:30.000,0.024019,1.000000
1 Jul 2024 00:14:40.000,0.014745,1.000000
1 Jul 2024 00:14:50.000,0.004537,1.000000
1 Jul 2024 00:15:00.000,0.019648,1.000000
1 Jul 2024 00:15:10.000,0.022505,1.000000
1 Jul 2024 00:15:20.000,0.023669,1.000000
1 Jul 2024 00:15:30.000,0.013181,1.000000
1 Jul 2024 00:15:40.000,0.007910,1.000000
1 Jul 2024 00:15:50.000,0.021752,1.000000
1 Jul 2024 00:16:00.000,0.019951,1.000000
1 Jul 2024 00:16:10.000,0.022615,1.000000
1 Jul 2024 00:16:20.000,0.011021,1.000000
1 Jul 2024 00:16:30.000,0.011041,1.000000
1 Jul 2024 00:16:40.000,0.024018,1.000000
1 Jul 2024 00:16:50.000,0.017673,1.000000
1 Jul 2024 00:17:00.000,0.020715,1.000000
1 Jul 2024 00:17:10.000,0.008742,1.000000
1 Jul 2024 00:17:20.000,0.013627,1.000000
1 Jul 2024 00:17:30.000,0.025430,1.000000
1 Jul 2024 00:17:40.000,0.020233,1.000000
1 Jul 2024 00:17:50.000,0.018092,1.000000
1 Jul 2024 00:18:00.000,0.005901,1.000000
1 Jul 2024 00:18:10.000,0.015931,1.000000
1 Jul 2024 00:18:20.000,0.026113,1.000000
1 Jul 2024 00:18:30.000,0.022121,1.000000
1 Jul 2024 00:18:40.000,0.016851,1.000000
1 Jul 2024 00:18:50.000,0.002982,1.000000
1 Jul 2024 00:19:00.000,0.017789,1.000000
1 Jul 2024 00:19:10.000,0.025744,1.000000
1 Jul 2024 00:19:20.000,0.023346,1.000000
1 Jul 2024 00:19:30.000,0.016150,1.000000
1 Jul 2024 00:19:40.000,0.000802,1.000000
1 Jul 2024 00:19:50.000,0.018886,1.000000
1 Jul 2024 00:20:00.000,0.024921,1.000000
1 Jul 2024 00:20:10.000,0.024021,1.000000
1 Jul 2024 00:20:20.000,0.014930,1.000000
1 Jul 2024 00:20:30.000,0.004220,1.000000
1 Jul 2024 00:20:40.000,0.019787,1.000000
1 Jul 2024 00:20:50.000,0.022892,1.000000
1 Jul 2024 00:21:00.000,0.023690,1.000000
1 Jul 2024 00:21:10.000,0.013445,1.000000
1 Jul 2024 00:21:20.000,0.007489,1.000000
1 Jul 2024 00:21:30.000,0.021389,1.000000
1 Jul 2024 00:21:40.000,0.020614,1.000000
1 Jul 2024 00:21:50.000,0.022753,1.000000
1 Jul 2024 00:22:00.000,0.011326,1.000000
1 Jul 2024 00:22:10.000,0.010628,1.000000
1 Jul 2024 00:22:20.000,0.023874,1.000000
1 Jul 2024 00:22:30.000,0.017339,1.000000
1 Jul 2024 00:22:40.000,0.021104,1.000000
1 Jul 2024 00:22:50.000,0.009097,1.000000
1 Jul 2024 00:23:00.000,0.013371,1.000000
1 Jul 2024 00:23:10.000,0.025276,1.000000
1 Jul 2024 00:23:20.000,0.020006,1.000000
1 Jul 2024 00:23:30.000,0.018667,1.000000
1 Jul 2024 00:23:40.000,0.006383,1.000000
1 Jul 2024 00:23:50.000,0.015760,1.000000
1 Jul 2024 00:24:00.000,0.026023,1.000000
1 Jul 2024 00:24:10.000,0.022016,1.000000
1 Jul 2024 00:24:20.000,0.016990,1.000000
1 Jul 2024 00:24:30.000,0.003367,1.000000
1 Jul 2024 00:24:40.000,0.017518,1.000000
1 Jul 2024 00:24:50.000,0.025933,1.000000
1 Jul 2024 00:25:00.000,0.023436,1.000000
1 Jul 2024 00:25:10.000,0.016184,1.000000
1 Jul 2024 00:25:20.000,0.000376,1.000000
1 Jul 2024 00:25:30.000,0.018844,1.000000
1 Jul 2024 00:25:40.000,0.025005,1.000000
1 Jul 2024 00:25:50.000,0.024007,1.000000
1 Jul 2024 00:26:00.000,0.015237,1.000000
1 Jul 2024 00:26:10.000,0.003631,1.000000
1 Jul 2024 00:26:20.000,0.019621,1.000000
1 Jul 2024 00:26:30.000,0.023294,1.000000
1 Jul 2024 00:26:40.000,0.023919,1.000000
1 Jul 2024 00:26:50.000,0.013645,1.000000
1 Jul 2024 00:27:00.000,0.006902,1.000000
1 Jul 2024 00:27:10.000,0.020889,1.000000
1 Jul 2024 00:27:20.000,0.020939,1.000000
1 Jul 2024 00:27:30.000,0.022938,1.000000
1 Jul 2024 00:27:40.000,0.011666,1.000000
1 Jul 2024 00:27:50.000,0.010198,1.000000
1 Jul 2024 00:28:00.000,0.023338,1.000000
1 Jul 2024 00:28:10.000,0.017652,1.000000
1 Jul 2024 00:28:20.000,0.021314,1.000000
1 Jul 2024 00:28:30.000,0.009451,1.000000
1 Jul 2024 00:28:40.000,0.013120,1.000000
1 Jul 2024 00:28:50.000,0.025267,1.000000
1 Jul 2024 00:29:00.000,0.019616,1.000000
1 Jul 2024 00:29:10.000,0.018954,1.000000
1 Jul 2024 00:29:20.000,0.006764,1.000000
1 Jul 2024 00:29:30.000,0.015465,1.000000
1 Jul 2024 00:29:40.000,0.025968,1.000000
1 Jul 2024 00:29:50.000,0.021643,1.000000
1 Jul 2024 00:30:00.000,0.016874,1.000000
1 Jul 2024 00:30:10.000,0.003869,1.000000
1 Jul 2024 00:30:20.000,0.017276,1.000000
1 Jul 2024 00:30:30.000,0.025991,1.000000
1 Jul 2024 00:30:40.000,0.023265,1.000000
1 Jul 2024 00:30:50.000,0.016341,1.000000
1 Jul 2024 00:31:00.000,0.001064,1.000000
1 Jul 2024 00:31:10.000,0.018656,1.000000
1 Jul 2024 00:31:20.000,0.025093,1.000000
1 Jul 2024 00:31:30.000,0.023991,1.000000
1 Jul 2024 00:31:40.000,0.015416,1.000000
1 Jul 2024 00:31:50.000,0.003337,1.000000
1 Jul 2024 00:32:00.000,0.019459,1.000000
1 Jul 2024 00:32:10.000,0.023551,1.000000
1 Jul 2024 00:32:20.000,0.023866,1.000000
1 Jul 2024 00:32:30.000,0.013843,1.000000
1 Jul 2024 00:32:40.000,0.006625,1.000000
1 Jul 2024 00:32:50.000,0.020682,1.000000
1 Jul 2024 00:33:00.000,0.021135,1.000000
1 Jul 2024 00:33:10.000,0.023114,1.000000
1 Jul 2024 00:33:20.000,0.012011,1.000000
1 Jul 2024 00:33:30.000,0.009644,1.000000
1 Jul 2024 00:33:40.000,0.023160,1.000000
1 Jul 2024 00:33:50.000,0.018217,1.000000
1 Jul 2024 00:34:00.000,0.021644,1.000000
1 Jul 2024 00:34:10.000,0.009678,1.000000
1 Jul 2024 00:34:20.000,0.012718,1.000000
1 Jul 2024 00:34:30.000,0.024969,1.000000
1 Jul 2024 00:34:40.000,0.019128,1.000000
1 Jul 2024 00:34:50.000,0.019228,1.000000
1 Jul 2024 00:35:00.000,0.006999,1.000000
1 Jul 2024 00:35:10.000,0.015222,1.000000
1 Jul 2024 00:35:20.000,0.025845,1.000000
1 Jul 2024 00:35:30.000,0.021353,1.000000
1 Jul 2024 00:35:40.000,0.017003,1.000000
1 Jul 2024 00:35:50.000,0.004247,1.000000
1 Jul 2024 00:36:00.000,0.017146,1.000000
1 Jul 2024 00:36:10.000,0.026050,1.000000
1 Jul 2024 00:36:20.000,0.022837,1.000000
1 Jul 2024 00:36:30.000,0.016628,1.000000
1 Jul 2024 00:36:40.000,0.001474,1.000000
1 Jul 2024 00:36:50.000,0.018465,1.000000
1 Jul 2024 00:37:00.000,0.025307,1.000000
1 Jul 2024 00:37:10.000,0.023850,1.000000
1 Jul 2024 00:37:20.000,0.015594,1.000000
1 Jul 2024 00:37:30.000,0.002749,1.000000
1 Jul 2024 00:37:40.000,0.019456,1.000000
1 Jul 2024 00:37:50.000,0.023802,1.000000
1 Jul 2024 00:38:00.000,0.024013,1.000000
1 Jul 2024 00:38:10.000,0.014160,1.000000
1 Jul 2024 00:38:20.000,0.006044,1.000000
1 Jul 2024 00:38:30.000,0.020154,1.000000
1 Jul 2024 00:38:40.000,0.021501,1.000000
1 Jul 2024 00:38:50.000,0.023138,1.000000
1 Jul 2024 00:39:00.000,0.012224,1.000000
1 Jul 2024 00:39:10.000,0.009369,1.000000
1 Jul 2024 00:39:20.000,0.022822,1.000000
1 Jul 2024 00:39:30.000,0.018481,1.000000
1 Jul 2024 00:39:40.000,0.021716,1.000000
1 Jul 2024 00:39:50.000,0.010031,1.000000
1 Jul 2024 00:40:00.000,0.012315,1.000000
1 Jul 2024 00:40:10.000,0.024674,1.000000
1 Jul 2024 00:40:20.000,0.018806,1.000000
1 Jul 2024 00:40:30.000,0.019749,1.000000
1 Jul 2024 00:40:40.000,0.007491,1.000000
1 Jul 2024 00:40:50.000,0.014838,1.000000
1 Jul 2024 00:41:00.000,0.025908,1.000000
1 Jul 2024 00:41:10.000,0.021188,1.000000
1 Jul 2024 00:41:20.000,0.016744,1.000000
1 Jul 2024 00:41:30.000,0.004620,1.000000
1 Jul 2024 00:41:40.000,0.016928,1.000000
1 Jul 2024 00:41:50.000,0.026097,1.000000
1 Jul 2024 00:42:00.000,0.022928,1.000000
1 Jul 2024 00:42:10.000,0.016664,1.000000
1 Jul 2024 00:42:20.000,0.001856,1.000000
1 Jul 2024 00:42:30.000,0.018264,1.000000
1 Jul 2024 00:42:40.000,0.025527,1.000000
1 Jul 2024 00:42:50.000,0.023836,1.000000
1 Jul 2024 00:43:00.000,0.015769,1.000000
1 Jul 2024 00:43:10.000,0.002304,1.000000
1 Jul 2024 00:43:20.000,0.019285,1.000000
1 Jul 2024 00:43:30.000,0.024084,1.000000
1 Jul 2024 00:43:40.000,0.024014,1.000000
1 Jul 2024 00:43:50.000,0.014356,1.000000
1 Jul 2024 00:44:00.000,0.005690,1.000000
1 Jul 2024 00:44:10.000,0.019891,1.000000
1 Jul 2024 00:44:20.000,0.021786,1.000000
1 Jul 2024 00:44:30.000,0.023495,1.000000
1 Jul 2024 00:44:40.000,0.012559,1.000000
1 Jul 2024 00:44:50.000,0.008946,1.000000
1 Jul 2024 00:45:00.000,0.022468,1.000000
1 Jul 2024 00:45:10.000,0.018893,1.000000
1 Jul 2024 00:45:20.000,0.022189,1.000000
1 Jul 2024 00:45:30.000,0.010387,1.000000
1 Jul 2024 00:45:40.000,0.011899,1.000000
1 Jul 2024 00:45:50.000,0.024637,1.000000
1 Jul 2024 00:46:00.000,0.018394,1.000000
1 Jul 2024 00:46:10.000,0.020032,1.000000
1 Jul 2024 00:46:20.000,0.007857,1.000000
1 Jul 2024 00:46:30.000,0.014449,1.000000
1 Jul 2024 00:46:40.000,0.025852,1.000000
1 Jul 2024 00:46:50.000,0.020930,1.000000
1 Jul 2024 00:47:00.000,0.017241,1.000000
1 Jul 2024 00:47:10.000,0.004997,1.000000
1 Jul 2024 00:47:20.000,0.016708,0.713637
1 Jul 2024 00:47:30.000,0.000000,0.000000
1 Jul 2024 00:47:40.000,0.000000,0.000000
1 Jul 2024 00:47:50.000,0.000000,0.000000
1 Jul 2024 00:48:00.000,0.000000,0.000000
1 Jul 2024 00:48:10.000,0.000000,0.000000
1 Jul 2024 00:48:20.000,0.000000,0.000000
1 Jul 2024 00:48:30.000,0.000000,0.000000
1 Jul 2024 00:48:40.000,0.000000,0.000000
1 Jul 2024 00:48:50.000,0.000000,0.000000
1 Jul 2024 00:49:00.000,0.000000,0.000000
1 Jul 2024 00:49:10.000,0.000000,0.000000
1 Jul 2024 00:49:20.000,0.000000,0.000000
1 Jul 2024 00:49:30.000,0.000000,0.000000
1 Jul 2024 00:49:40.000,0.000000,0.000000
1 Jul 2024 00:49:50.000,0.000000,0.000000
1 Jul 2024 00:50:00.000,0.000000,0.000000
1 Jul 2024 00:50:10.000,0.000000,0.000000
1 Jul 2024 00:50:20.000,0.000000,0.000000
1 Jul 2024 00:50:30.000,0.000000,0.000000
1 Jul 2024 00:50:40.000,0.000000,0.000000
1 Jul 2024 00:50:50.000,0.000000,0.000000
1 Jul 2024 00:51:00.000,0.000000,0.000000
1 Jul 2024 00:51:10.000,0.000000,0.000000
1 Jul 2024 00:51:20.000,0.000000,0.000000
1 Jul 2024 00:51:30.000,0.000000,0.000000
1 Jul 2024 00:51:40.000,0.000000,0.000000
1 Jul 2024 00:51:50.000,0.000000,0.000000
1 Jul 2024 00:52:00.000,0.000000,0.000000
1 Jul 2024 00:52:10.000,0.000000,0.000000
1 Jul 2024 00:52:20.000,0.000000,0.000000
1 Jul 2024 00:52:30.000,0.000000,0.000000
1 Jul 2024 00:52:40.000,0.000000,0.000000
1 Jul 2024 00:52:50.000,0.000000,0.000000
1 Jul 2024 00:53:00.000,0.000000,0.000000
1 Jul 2024 00:53:10.000,0.000000,0.000000
1 Jul 2024 00:53:20.000,0.000000,0.000000
1 Jul 2024 00:53:30.000,0.000000,0.000000
1 Jul 2024 00:53:40.000,0.000000,0.000000
1 Jul 2024 00:53:50.000,0.000000,0.000000
1 Jul 2024 00:54:00.000,0.000000,0.000000
1 Jul 2024 00:54:10.000,0.000000,0.000000
1 Jul 2024 00:54:20.000,0.000000,0.000000
1 Jul 2024 00:54:30.000,0.000000,0.000000
1 Jul 2024 00:54:40.000,0.000000,0.000000
1 Jul 2024 00:54:50.000,0.000000,0.000000
1 Jul 2024 00:55:00.000,0.000000,0.000000
1 Jul 2024 00:55:10.000,0.000000,0.000000
1 Jul 2024 00:55:20.000,0.000000,0.000000
1 Jul 2024 00:55:30.000,0.000000,0.000000
1 Jul 2024 00:55:40.000,0.000000,0.000000
1 Jul 2024 00:55:50.000,0.000000,0.000000
1 Jul 2024 00:56:00.000,0.000000,0.000000
1 Jul 2024 00:56:10.000,0.000000,0.000000
1 Jul 2024 00:56:20.000,0.000000,0.000000
1 Jul 2024 00:56:30.000,0.000000,0.000000
1 Jul 2024 00:56:40.000,0.000000,0.000000
1 Jul 2024 00:56:50.000,0.000000,0.000000
1 Jul 2024 00:57:00.000,0.000000,0.000000
1 Jul 2024 00:57:10.000,0.000000,0.000000
1 Jul 2024 00:57:20.000,0.000000,0.000000
1 Jul 2024 00:57:30.000,0.000000,0.000000
1 Jul 2024 00:57:40.000,0.000000,0.000000
1 Jul 2024 00:57:50.000,0.000000,0.000000
1 Jul 2024 00:58:00.000,0.000000,0.000000
1 Jul 2024 00:58:10.000,0.000000,0.000000
1 Jul 2024 00:58:20.000,0.000000,0.000000
1 Jul 2024 00:58:30.000,0.000000,0.000000
1 Jul 2024 00:58:40.000,0.000000,0.000000
1 Jul 2024 00:58:50.000,0.000000,0.000000
1 Jul 2024 00:59:00.000,0.000000,0.000000
1 Jul 2024 00:59:10.000,0.000000,0.000000
1 Jul 2024 00:59:20.000,0.000000,0.000000
1 Jul 2024 00:59:30.000,0.000000,0.000000
1 Jul 2024 00:59:40.000,0.000000,0.000000
